abbreviation	school	mascot	division
ACU	Abilene Christian	Wildcats	FCS
ADST	Adams State	Grizzlies	2
ADR	Adrian	Bulldogs	3
AFA	Air Force	Falcons	FBS
AKR	Akron	Zips	FBS
ALA	Alabama	Crimson Tide	FBS
AAMU	Alabama A&M	Bulldogs	FCS
ALST	Alabama State	Hornets	FCS
ALBY	Albany	Great Danes	FCS
ALB	Albany State (GA)	Golden Rams	2
ALBI	Albion	Britons	3
ALB	Albright	Lions	3
ALCN	Alcorn State	Braves	FCS
ABC	Alderson-Broaddus	Battlers	?
ALF	Alfred	Saxons	?
ASC	Alfred State College	Pioneers	?
ALL	Allegheny	Golden Gators	?
ALM	Alma College	Scots	?
AIC	American International	Yellow Jackets	?
AMH	Amherst College	Lord Jeffs	?
AND	Anderson (IN)	Ravens	?
ANG	Angelo State	Rams	?
ANN	Anna Maria College	Amcats	?
APP	Appalachian State	Mountaineers	FBS
APP	Apprentice School	Builders	?
ARIZ	Arizona	Wildcats	FBS
AZCR	Arizona Christian	Firestorm	?
ASU	Arizona State	Sun Devils	FBS
ARK	Arkansas	Razorbacks	FBS
ARK	Arkansas-Monticello	Weevils	?
UAPB	Arkansas-Pine Bluff	Golden Lions	FCS
ARST	Arkansas State	Red Wolves	FBS
ARK	Arkansas Tech	Wonder Boys	?
ARMY	Army	Black Knights	FBS
ASH	Ashland	Eagles	?
ASP	Assumption	Greyhounds	?
AUB	Auburn	Tigers	FBS
AUG	Augsburg	Auggies	?
AUG	Augustana (IL)	Vikings	?
AUG	Augustana (SD)	Vikings	?
AUR	Aurora	Spartans	?
AUS	Austin College	Kangaroos	?
PEAY	Austin Peay	Governors	FCS
AMU	Ave Maria	Gyrenes	?
AVE	Averett	Cougars	?
AVC	Avila College	Eagles	?
AZU	Azusa Pacific	Cougars	?
BKN	Bacone College	Warriors	?
BAK	Baker University	Wildcats	?
BAL	Baldwin-Wallace	Yellow Jackets	?
BALL	Ball State	Cardinals	FBS
BAT	Bates College	Bobcats	?
BAY	Baylor	Bears	FBS
BEC	Becker College	Hawks	?
BEL	Beloit College	Buccaneers	?
BEM	Bemidji State	Beavers	?
BBG	Benedict College	Tigers	?
BEN	Benedictine College	Bndctne Col	?
BEN	Benedictine (IL)	Eagles	?
BENT	Bentley	Falcons	?
BER	Berry College	Vikings	?
BET	Bethany (KS)	Swedes	?
BET	Bethany (WV)	Bison	?
BET	Bethel (MN)	Royals	?
BET	Bethel (TN)	Wildcats	?
BCU	Bethune-Cookman	Wildcats	?
BIR	Birmingham-Southern	Panthers	?
BLA	Blackburn	Beavers	?
BLA	Black Hills State	Yellow Jackets	?
BLO	Bloomsburg	Huskies	?
BLU	Bluefield College	Rams	?
BLU	Bluffton	Beavers	?
BSU	Boise State	Broncos	FBS
BC	Boston College	Eagles	FBS
BOW	Bowdoin	Polar Bears	?
BGSU	Bowling Green	Falcons	FBS
BRE	Brevard College	Tornados	?
BGW	Bridgewater State	Bears	?
BRD	Bridgewater (VA)	Eagles	?
BBM	Brit Columbia	Thunderbirds	?
BRO	Brockport State (NY)	Golden Eagles	?
BRWN	Brown	Bears	?
BRY	Bryant	Bulldogs	?
BUCK	Bucknell	Bison	?
BUE	Buena Vista	Beavers	?
BUFF	Buffalo	Bulls	FBS
BUF	Buffalo State	Bengals	?
BUT	Butler	Bulldogs	?
BYU	BYU	Cougars	FBS
CAL	California	Golden Bears	FBS
CAL	California (PA)	Vulcans	?
CAL	Cal Lutheran	Kingsmen	?
CP	Cal Poly	Mustangs	?
CAMP	Campbell	Camels	?
CAP	Capital	Crusaders	?
CAR	Carleton	Knights	?
CAR	Carnegie Mellon	Tartans	?
CAR	Carroll (WI)	Pioneers	?
CNEW	Carson-Newman	Eagles	?
CAR	Carthage	Redmen	?
CSR	Case Western Reserve	Spartans	?
CAS	Castleton State College	Spartans	?
CAT	Catawba	Indians	?
CATH	Catholic University	Cardinals	?
CEN	Central	Dutch	?
UCA	Central Arkansas	Bears	FCS
CCSU	Central Connecticut	Blue Devils	?
CDF	Central Methodist	Eagles	?
CMU	Central Michigan	Chippewas	FBS
CEN	Central Missouri State	Mules	?
CEN	Central Oklahoma	Bronchos	?
CCI	Central State	Marauders	?
CEN	Central Washington	Wildcats	?
CEN	Centre	Colonels	?
CHA	Chadron State	Eagles	?
CHA	Chapman	Panthers	?
CHSO	Charleston Southern	Buccaneers	?
CHA	Charleston (WV)	Golden Eagles	?
CHAR	Charlotte	49ers	FBS
CHAT	Chattanooga	Mocs	FCS
CHE	Cheyney	Wolves	?
CHI	Chicago	Maroons	?
CHR	Christopher Newport	Captains	?
CIN	Cincinnati	Bearcats	FBS
CLA	Claremont	Stags	?
CLA	Clarion	Golden Eagles	?
CLK	Clark Atlanta	Panthers	?
CLEM	Clemson	Tigers	FBS
CCU	Coastal Carolina	Chanticleers	FBS
COA	Coast Guard	Bears	?
COE	Coe	Kohawks	?
COL	Colby	White Mules	?
COLG	Colgate	Raiders	?
FAI	College of Faith	Warriors	?
COFC	College of Faith - Charlotte	Saints	?
COI	College of Idaho	Yotes	?
CNJ	College of New Jersey	Lions	?
COLO	Colorado	Buffaloes	FBS
COL	Colorado College	Tigers	?
MESA	Colorado Mesa	Mavericks	?
COL	Colorado Mines	Orediggers	?
CSU	Colorado State	Rams	FBS
CSUP	Colorado State-Pueblo	Thunderwolves	?
CLMB	Columbia	Lions	FCS
CON	Concord	Mountain Lions	?
CON	Concordia (AL)	Hornets	?
CMI	Concordia College (MI)	Cardinals	?
CON	Concordia (IL)	Cougars	?
CON	Concordia (MN)	Cobbers	?
CON	Concordia-St. Paul	Golden Bears	?
CON	Concordia (WI)	Falcons	?
CONN	Connecticut	Huskies	FBS
COR	Cornell	Big Red	FCS
COR	Cornell College (IA)	Rams	?
CRO	Crown College	Storm	?
CUL	Culver-Stockton	Wildcats	?
CUM	Cumberland	Bulldogs	?
CUM	Cumberland College	Indians	?
CUR	Curry	Colonels	?
DSU	Dakota State	Trojans	?
DWU	Dakota Wesleyan	Tigers	?
DART	Dartmouth	Big Green	FCS
DAV	Davidson	Wildcats	FCS
DAY	Dayton	Flyers	FCS
DEF	Defiance	Yellow Jackets	?
DEL	Delaware	Blue Hens	FCS
DSU	Delaware State	Hornets	?
DV	Delaware Valley	Aggies	?
DEL	Delta State	Statesmen	?
DEN	Denison	Big Red	?
DEP	DePauw	Tigers	?
DIC	Dickinson	Red Devils	?
DIC	Dickinson State	Blue Hawks	?
DRKE	Drake	Bulldogs	FCS
DUB	Dubuque	Spartans	?
DUKE	Duke	Blue Devils	FBS
DUQ	Duquesne	Dukes	?
EAR	Earlham	Quakers	?
ECU	East Carolina	Pirates	FBS
EAS	East Central	Tigers	?
EIU	Eastern Illinois	Panthers	FCS
EKY	Eastern Kentucky	Colonels	?
EMU	Eastern Michigan	Eagles	FBS
EAS	Eastern New Mexico	Greyhounds	?
EAS	Eastern Oregon	Mountaineers	?
EWU	Eastern Washington	Eagles	FCS
